TC_ID,테스트명,분류,전제조건,테스트단계,예상결과,실제결과,결과,심각도,우선순위,플랫폼,발견자,발견일
TC-011,PW에 비정상값 '123' 입력 시 오류 처리 확인,로그인,게임이 실행되지 않은 상태,"1. 앱 실행
2. 로그인 화면 진입
3. PW 에 '123' 입력 후 동작 수행",PW 오류 메시지 표시,,,High,Medium,PC,자동생성,2026-06-20
TC-012,ID_길이 최소 미만값(3자) 입력 시 오류 처리 확인,로그인,게임이 실행되지 않은 상태,"1. 앱 실행
2. 로그인 화면 진입
3. ID_길이 에 '3자' 입력 후 동작 수행",오류 메시지 표시,,,High,High,PC,자동생성,2026-06-20
TC-013,ID_길이 최소값(4자) 입력 시 정상 동작 확인,로그인,게임이 실행되지 않은 상태,"1. 앱 실행
2. 로그인 화면 진입
3. ID_길이 에 '4자' 입력 후 동작 수행",정상 처리,,,Medium,High,PC,자동생성,2026-06-20
TC-014,ID_길이 최대값(20자) 입력 시 정상 동작 확인,로그인,게임이 실행되지 않은 상태,"1. 앱 실행
2. 로그인 화면 진입
3. ID_길이 에 '20자' 입력 후 동작 수행",정상 처리,,,Medium,High,PC,자동생성,2026-06-20
TC-015,ID_길이 최대 초과값(21자) 입력 시 오류 처리 확인,로그인,게임이 실행되지 않은 상태,"1. 앱 실행
2. 로그인 화면 진입
3. ID_길이 에 '21자' 입력 후 동작 수행",오류 메시지 표시,,,High,High,PC,자동생성,2026-06-20
TC-016,PW_길이 최소 미만값(7자) 입력 시 오류 처리 확인,로그인,게임이 실행되지 않은 상태,"1. 앱 실행
2. 로그인 화면 진입
3. PW_길이 에 '7자' 입력 후 동작 수행",오류 메시지 표시,,,High,High,PC,자동생성,2026-06-20
TC-017,PW_길이 최소값(8자) 입력 시 정상 동작 확인,로그인,게임이 실행되지 않은 상태,"1. 앱 실행
2. 로그인 화면 진입
3. PW_길이 에 '8자' 입력 후 동작 수행",정상 처리,,,Medium,High,PC,자동생성,2026-06-20
TC-018,PW_길이 최대값(16자) 입력 시 정상 동작 확인,로그인,게임이 실행되지 않은 상태,"1. 앱 실행
2. 로그인 화면 진입
3. PW_길이 에 '16자' 입력 후 동작 수행",정상 처리,,,Medium,High,PC,자동생성,2026-06-20
TC-019,PW_길이 최대 초과값(17자) 입력 시 오류 처리 확인,로그인,게임이 실행되지 않은 상태,"1. 앱 실행
2. 로그인 화면 진입
3. PW_길이 에 '17자' 입력 후 동작 수행",오류 메시지 표시,,,High,High,PC,자동생성,2026-06-20
TC-020,정상 ID + 정상 PW 조합 시 동작 확인,로그인,게임이 실행되지 않은 상태,"1. 앱 실행
2. 로그인 화면 진입
3. ID + PW 에 'ID=유효, PW=유효' 입력 후 동작 수행",메인 화면 진입,,,Critical,High,PC,자동생성,2026-06-20
TC-021,정상 ID + 비정상 PW 조합 시 동작 확인,로그인,게임이 실행되지 않은 상태,"1. 앱 실행
2. 로그인 화면 진입
3. ID + PW 에 'ID=유효, PW=무효' 입력 후 동작 수행",비밀번호 오류 메시지 표시,,,High,High,PC,자동생성,2026-06-20
TC-022,비정상 ID + 정상 PW 조합 시 동작 확인,로그인,게임이 실행되지 않은 상태,"1. 앱 실행
2. 로그인 화면 진입
3. ID + PW 에 'ID=무효, PW=유효' 입력 후 동작 수행",존재하지 않는 ID 메시지 표시,,,High,Medium,PC,자동생성,2026-06-20
TC-023,비정상 ID + 비정상 PW 조합 시 동작 확인,로그인,게임이 실행되지 않은 상태,"1. 앱 실행
2. 로그인 화면 진입
3. ID + PW 에 'ID=무효, PW=무효' 입력 후 동작 수행",로그인 정보 오류 메시지,,,Medium,Medium,PC,자동생성,2026-06-20
